file_ID,author,lab,label,particle_type,run_oldID,setup,phi (-),d (m),rho_p (kg/m3),v_s (m/s),alpha (deg.),rho_a (kg/m3),rho_f (kg/m3),nu_f (kg/(m.s)),nu_a (kg/(m.s)),T_a (deg. celsius),T_f (deg. celsius),L0 (m),W0 (m),H0 (m),H_a (m),L_1 (m),vs (m/s),rho_c (kg/m3),gprime (m/s2),u0 (m/s),a (-),Re (-),At (-),St (-),Fr (-),L (-)
run_013.nc,Cyril,IMFT,run_013.nc,silica sand,sand80m_H19 -- run14,IMFT,2.430e-03,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.001e+03,3.953e-02,8.938e-02,2.042e+00,1.808e+04,4.029e-03,1.358e-01,4.102e-01,1.187e-02
run_014.nc,Cyril,IMFT,run_014.nc,silica sand,sand80m_H19 -- run15,IMFT,1.555e-01,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.254e+03,2.530e+00,7.151e-01,2.042e+00,1.812e+05,2.579e-01,1.697e-02,3.875e-01,-4.188e-03
run_015.nc,Cyril,IMFT,run_015.nc,silica sand,sand80m_H19 -- run16,IMFT,9.721e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.158e+03,1.581e+00,5.653e-01,2.042e+00,1.323e+05,1.612e-01,2.146e-02,4.529e-01,-1.080e-03
run_016.nc,Cyril,IMFT,run_016.nc,silica sand,sand80m_H19 -- run17,IMFT,9.721e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.158e+03,1.581e+00,5.653e-01,2.042e+00,1.323e+05,1.612e-01,2.146e-02,4.074e-01,-1.324e-03
run_017.nc,Cyril,IMFT,run_017.nc,silica sand,sand80m_H19 -- run18,IMFT,2.090e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.032e+03,3.399e-01,2.621e-01,2.042e+00,5.465e+04,3.465e-02,4.629e-02,3.753e-01,-8.303e-04
run_018.nc,Cyril,IMFT,run_018.nc,silica sand,sand80m_H19 -- run19,IMFT,4.861e-03,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.005e+03,7.906e-02,1.264e-01,2.042e+00,2.568e+04,8.059e-03,9.599e-02,3.857e-01,4.956e-03
run_019.nc,Cyril,IMFT,run_019.nc,silica sand,sand80m_H19 -- run20,IMFT,2.994e-01,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.492e+03,4.870e+00,9.921e-01,2.042e+00,2.992e+05,4.964e-01,1.223e-02,4.259e-01,-2.392e-03
run_020.nc,Cyril,IMFT,run_020.nc,glass beads,silibeads200m_300m -- run01,IMFT,2.916e-02,2.500e-04,2.650e+03,3.185e-02,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,5.631e-02,1.045e+03,4.743e-01,3.096e-01,2.042e+00,6.541e+04,4.835e-02,1.818e-01,4.063e-01,1.747e-02
run_021.nc,Cyril,IMFT,run_021.nc,glass beads,silibeads200m_300m -- run02,IMFT,2.916e-02,2.500e-04,2.650e+03,3.185e-02,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,5.631e-02,1.045e+03,4.743e-01,3.096e-01,2.042e+00,6.541e+04,4.835e-02,1.818e-01,3.618e-01,1.156e-02
run_022.nc,Cyril,IMFT,run_022.nc,glass beads,silibeads200m_300m -- run03,IMFT,2.916e-02,2.500e-04,2.650e+03,3.185e-02,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,5.631e-02,1.045e+03,4.743e-01,3.096e-01,2.042e+00,6.541e+04,4.835e-02,1.818e-01,3.703e-01,1.462e-02
run_023.nc,Cyril,IMFT,run_023.nc,glass beads,silibeads200m_300m -- run04,IMFT,9.721e-02,2.500e-04,2.650e+03,3.185e-02,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,5.631e-02,1.158e+03,1.581e+00,5.653e-01,2.042e+00,1.323e+05,1.612e-01,9.960e-02,5.231e-01,1.652e-02
run_024.nc,Cyril,IMFT,run_024.nc,glass beads,silibeads200m_300m -- run05,IMFT,8.749e-03,2.500e-04,2.650e+03,3.185e-02,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,5.631e-02,1.011e+03,1.423e-01,1.696e-01,2.042e+00,3.467e+04,1.451e-02,3.320e-01,3.823e-01,2.725e-02
run_025.nc,Cyril,IMFT,run_025.nc,silica sand,Slope1 -- manip01,IMFT,2.944e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.047e+03,4.780e-01,3.119e-01,2.056e+00,6.647e+04,4.873e-02,3.887e-02,4.227e-01,4.934e-03
