file_ID,author,lab,label,particle_type,run_oldID,setup,phi (-),d (m),rho_p (kg/m3),v_s (m/s),alpha (deg.),rho_a (kg/m3),rho_f (kg/m3),nu_f (kg/(m.s)),nu_a (kg/(m.s)),T_a (deg. celsius),T_f (deg. celsius),L0 (m),W0 (m),H0 (m),H_a (m),L_1 (m),vs (m/s),rho_c (kg/m3),gprime (m/s2),u0 (m/s),t0 (s),a (-),Re (-),At (-),St (-),Fr (-),lamb (-)
run_013.nc,Cyril,IMFT,run_013.nc,silica sand,sand80m_H19 -- run14,IMFT,2.430e-03,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.001e+03,3.953e-02,8.903e-02,1.112e+00,2.042e+00,1.801e+04,4.029e-03,1.363e-01,4.116e-01,1.448e-02
run_014.nc,Cyril,IMFT,run_014.nc,silica sand,sand80m_H19 -- run15,IMFT,1.555e-01,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.254e+03,2.530e+00,7.122e-01,1.390e-01,2.042e+00,1.805e+05,2.579e-01,1.704e-02,3.892e-01,-5.407e-03
run_015.nc,Cyril,IMFT,run_015.nc,silica sand,sand80m_H19 -- run16,IMFT,9.721e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.158e+03,1.581e+00,5.630e-01,1.758e-01,2.042e+00,1.317e+05,1.612e-01,2.155e-02,4.552e-01,-1.135e-03
run_016.nc,Cyril,IMFT,run_016.nc,silica sand,sand80m_H19 -- run17,IMFT,9.721e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.158e+03,1.581e+00,5.630e-01,1.758e-01,2.042e+00,1.317e+05,1.612e-01,2.155e-02,4.091e-01,-1.629e-03
run_017.nc,Cyril,IMFT,run_017.nc,silica sand,sand80m_H19 -- run18,IMFT,2.090e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.032e+03,3.399e-01,2.611e-01,3.792e-01,2.042e+00,5.443e+04,3.465e-02,4.648e-02,3.775e-01,-1.008e-03
run_018.nc,Cyril,IMFT,run_018.nc,silica sand,sand80m_H19 -- run19,IMFT,4.861e-03,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.005e+03,7.906e-02,1.259e-01,7.863e-01,2.042e+00,2.557e+04,8.059e-03,9.638e-02,3.879e-01,6.521e-03
run_019.nc,Cyril,IMFT,run_019.nc,silica sand,sand80m_H19 -- run20,IMFT,2.994e-01,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.492e+03,4.870e+00,9.881e-01,1.002e-01,2.042e+00,2.980e+05,4.964e-01,1.228e-02,4.272e-01,-2.862e-03
run_020.nc,Cyril,IMFT,run_020.nc,glass beads,silibeads200m_300m -- run01,IMFT,2.916e-02,2.500e-04,2.650e+03,3.185e-02,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,5.631e-02,1.045e+03,4.743e-01,3.084e-01,3.210e-01,2.042e+00,6.515e+04,4.835e-02,1.826e-01,4.874e-01,4.136e-02
run_021.nc,Cyril,IMFT,run_021.nc,glass beads,silibeads200m_300m -- run02,IMFT,2.916e-02,2.500e-04,2.650e+03,3.185e-02,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,5.631e-02,1.045e+03,4.743e-01,3.084e-01,3.210e-01,2.042e+00,6.515e+04,4.835e-02,1.826e-01,3.719e-01,1.790e-02
run_022.nc,Cyril,IMFT,run_022.nc,glass beads,silibeads200m_300m -- run03,IMFT,2.916e-02,2.500e-04,2.650e+03,3.185e-02,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,5.631e-02,1.045e+03,4.743e-01,3.084e-01,3.210e-01,2.042e+00,6.515e+04,4.835e-02,1.826e-01,4.006e-01,2.450e-02
